"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","PPWS","5214","Diseases of Crop Plants","Baudoin","3.48","20","40","0","40","0","0","0","0","0","0","0","0","0","5","87666","  1"
"2018-19","Fall","ALS","2974","IS: Meat Science Lab","Gerrard","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90008","  1"
"2018-19","Fall","AT","0974","IS: Business Prof Development","Guthrie","3.28","0","40","20","20","20","0","0","0","0","0","0","0","0","5","91146","  1"
"2018-19","Fall","UAP","5424","TS: Site Planning","Beske","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90981","  1"
"2018-19","Fall","AOE","4254","Ocean Engineering Laboratory","Alexander","3.34","40","20","20","0","0","0","0","20","0","0","0","0","0","5","80350","  1"
"2018-19","Fall","ESM","3064","Mech Behavior Matls Lab","Aidi","3.6","60","0","0","40","0","0","0","0","0","0","0","0","0","5","84308","  1"
"2018-19","Fall","CS","2304","Self Study Prog Sys","Lohani","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90985","  1"
"2018-19","Fall","EDCI","5844","STEM Education Seminar","Wells","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","83585","  1"
"2018-19","Fall","EDCI","5844","STEM Education Seminar","Wells","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","83586","  1"
"2018-19","Fall","MUS","2244","TS:Flute","Lantz Crone","4","100","0","0","0","0","0","0","0","0","0","0","0","1","5","86732","  1"
"2018-19","Fall","MUS","2514","Individual Applied Voice","Cowan","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","86740","  1"
"2018-19","Fall","MUS","2634","Individual Applied Horn","Easter","3","20","0","20","40","0","0","0","20","0","0","0","0","0","5","86755","  1"
"2018-19","Fall","TA","3014","Theatre Production Lab","Stein","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","88221","  1"
"2018-19","Fall","MUS","2515","Vocal Diction","Thorsett","3.68","60","20","0","0","20","0","0","0","0","0","0","0","0","5","89325","  1"
"2018-19","Fall","BMVS","6094","Board Certification Topics","Rossmeisl","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","81619","  1"
