"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","CS","2304","Self Study Prog Sys","Lohani","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90985","  1"
"2020-21","Fall","CS","2304","Self Study Prog Sys","Cao","3.33","83.3","0","0","0","0","0","0","0","0","0","0","16.7","0","6","82989","  1"
"2017-18","Spring","CS","2304","Self Study Prog Sys","Charles","3.96","85.7","14.3","0","0","0","0","0","0","0","0","0","0","3","7","12705","  1"
"2021-22","Spring","CS","2304","TS:  Prog Sys C++","Cao","3.71","62.5","12.5","0","25","0","0","0","0","0","0","0","0","1","8","13220","  1"
"2019-20","Fall","CS","2304","Self Stdy-Intro Blockchain Sys","Cameron","2","33.3","0","0","0","0","0","22.2","0","0","22.2","0","22.2","2","9","91697","  1"
"2020-21","Fall","CS","2304","Self Study Prog Sys","Charles","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","82990","  1"
"2015-16","Fall","CS","2304","Self Study Prog Sys","Gusukuma","3.43","70","0","10","10","0","0","0","0","0","0","0","10","0","10","82176","  1"
"2021-22","Fall","CS","2304","TS: Prog Sys C++","Cao","3.85","81.8","9.1","0","0","9.1","0","0","0","0","0","0","0","3","11","83073","  1"
"2014-15","Spring","CS","2304","Self Study Prog Sys","Monti","3.92","92.3","0","0","7.7","0","0","0","0","0","0","0","0","0","13","12278","  1"
"2019-20","Spring","CS","2304","TS: Docker Containerization","Irwin","3.95","92.3","0","7.7","0","0","0","0","0","0","0","0","0","1","13","12955","  1"
"2021-22","Fall","CS","2304","TS: Python Programming","Lohani","3.69","92.3","0","0","0","0","0","0","0","0","0","0","7.7","0","13","83074","  1"
"2021-22","Spring","CS","2304","TS: Python Programming","Lohani","3.58","76.9","0","15.4","0","0","0","0","0","0","0","0","7.7","1","13","13222","  1"
"2012-13","Fall","CS","5465","Numerical Analysis","Borggaard","3.74","60","20","0","20","0","0","0","0","0","0","0","0","0","5","92011","  3"
