Spring,Architecture,Arts and Science,Commerce,Education,Engineering,Leadership and Public Policy,Nursing,Overall
2021,3.54,3.63,3.69,3.63,3.61,3.73,3.79,3.64
2020,3.49,3.48,3.63,3.53,3.52,3.64,3.73,3.5
2019,3.42,3.39,3.64,3.46,3.41,3.61,3.71,3.42
2018,3.42,3.36,3.64,3.43,3.38,3.54,3.65,3.39
2017,3.43,3.33,3.64,3.43,3.35,3.53,3.63,3.37
2016,3.42,3.31,3.64,3.43,3.32,3.5,3.57,3.35
2015,3.39,3.3,3.64,3.41,3.29,3.43,3.49,3.33
2014,3.36,3.28,3.62,3.4,3.26,3.47,3.47,3.31
2013,3.3,3.26,3.59,3.31,3.22,3.48,3.42,3.3
2012,3.27,3.25,3.57,3.27,3.17,,3.37,3.28
2011,3.28,3.25,3.57,3.28,3.16,,3.4,3.26
2010,3.31,3.24,3.55,3.26,3.13,,3.42,3.25
2009,3.33,3.23,3.52,3.22,3.13,,3.43,3.24
2008,3.28,3.2,3.51,3.22,3.13,,3.41,3.22
2007,3.28,3.19,3.49,3.26,3.11,,3.38,3.21
2006,3.27,3.19,3.47,3.23,3.09,,3.39,3.2
2005,3.23,3.17,3.47,3.12,3.07,,3.37,3.18
2004,3.24,3.14,3.46,3.14,3.06,,3.34,3.16
2003,3.22,3.14,3.41,3.21,3.03,,3.31,3.15
2002,3.24,3.13,3.42,3.25,3.03,,3.27,3.14
2001,3.22,3.13,3.43,3.25,3.02,,3.28,3.14
2000,3.18,3.13,3.42,3.28,3.01,,3.3,3.14
1999,3.19,3.12,3.43,3.38,2.99,,3.28,3.13
1998,3.18,3.12,3.41,3.38,2.97,,3.26,3.12
1997,3.16,3.12,3.32,3.28,2.94,,3.26,3.12
1996,3.16,3.13,3.29,3.27,2.92,,3.26,3.12
